Users,Total pulls,Pull number,MoC,PF,Female,HP,ATK,DEF,SPEED,Banner count,Legendary chance,Win percent,PHYSICAL,FIRE,ICE,LIGHTNING,WIND,QUANTUM,DESTRUCTION,HUNT,ERUDITION,HARMONY,NIHILITY,PRESERVATION
280371,19445419,90,9.5,9,1,147.84,92.4,66.0,100,1,1.0,0.5820445508417326,0,0,0,1,0,0,0,0,0,0,1,0
112257,3981050,74,9.5,9,1,147.84,92.4,66.0,100,2,0.0659841,0.5847358039199227,0,0,0,1,0,0,0,0,0,0,1,0
112257,3981050,75,9.5,9,1,147.84,92.4,66.0,100,2,0.12730895,0.5847358039199227,0,0,0,1,0,0,0,0,0,0,1,0
112257,3981050,76,9.5,9,1,147.84,92.4,66.0,100,2,0.18286844,0.5847358039199227,0,0,0,1,0,0,0,0,0,0,1,0
112257,3981050,77,9.5,9,1,147.84,92.4,66.0,100,2,0.24403524,0.5847358039199227,0,0,0,1,0,0,0,0,0,0,1,0
112257,3981050,78,9.5,9,1,147.84,92.4,66.0,100,2,0.3063717,0.5847358039199227,0,0,0,1,0,0,0,0,0,0,1,0
112257,3981050,79,9.5,9,1,147.84,92.4,66.0,100,2,0.3671041,0.5847358039199227,0,0,0,1,0,0,0,0,0,0,1,0
112257,3981050,80,9.5,9,1,147.84,92.4,66.0,100,2,0.42199954,0.5847358039199227,0,0,0,1,0,0,0,0,0,0,1,0
112257,3981050,81,9.5,9,1,147.84,92.4,66.0,100,2,0.47410908,0.5847358039199227,0,0,0,1,0,0,0,0,0,0,1,0
112257,3981050,82,9.5,9,1,147.84,92.4,66.0,100,2,0.529876,0.5847358039199227,0,0,0,1,0,0,0,0,0,0,1,0
112257,3981050,83,9.5,9,1,147.84,92.4,66.0,100,2,0.55088854,0.5847358039199227,0,0,0,1,0,0,0,0,0,0,1,0
112257,3981050,90,9.5,9,1,147.84,92.4,66.0,100,2,1.0,0.5847358039199227,0,0,0,1,0,0,0,0,0,0,1,0
253897,15979091,74,9.5,7,0,168.96,95.04,49.5,102,1,0.06648732,0.5859987511274544,0,0,0,0,0,0,1,0,0,0,0,0
253897,15979091,75,9.5,7,0,168.96,95.04,49.5,102,1,0.12468369,0.5859987511274544,0,0,0,0,0,0,1,0,0,0,0,0
253897,15979091,76,9.5,7,0,168.96,95.04,49.5,102,1,0.18551616,0.5859987511274544,0,0,0,0,0,0,1,0,0,0,0,0
